year,variable,$489 billion,$59 billion
2010,climate finance commitments,,21893467055.0
2010,fossil fuel subsidies,-186469445295.0,
2011,climate finance commitments,,17292535537.0
2011,fossil fuel subsidies,-208527172264.0,
2012,climate finance commitments,,23028812044.515625
2012,fossil fuel subsidies,-222499879183.0,
2013,climate finance commitments,,26145721949.65625
2013,fossil fuel subsidies,-236866523516.0,
2014,climate finance commitments,,29770939758.585938
2014,fossil fuel subsidies,-223349743589.0,
2015,climate finance commitments,,31128861542.765625
2015,fossil fuel subsidies,-170384642882.0,
2016,climate finance commitments,,31782042354.366943
2016,fossil fuel subsidies,-141416390209.0,
2017,climate finance commitments,,31966082393.685547
2017,fossil fuel subsidies,-152602715341.0,
2018,climate finance commitments,,34202588128.68457
2018,fossil fuel subsidies,-161218056759.0,
2019,climate finance commitments,,36693368107.251465
2019,fossil fuel subsidies,-160628302990.0,
2020,climate finance commitments,,48760260386.07495
2020,fossil fuel subsidies,-140457603910.0,
2021,climate finance commitments,,45661184763.576675
2021,fossil fuel subsidies,-214559259725.0,
2022,climate finance commitments,,59094904942.00781
2022,fossil fuel subsidies,-489322710016.0,
