year,iso3_code,climate_finance_commitments,fossil_fuel_subsidies,currency,country_name
2010,BEL,191748248.0,2832889000.0,US$ current,Belgium
2011,BEL,245891915.0,2862083000.0,US$ current,Belgium
2012,BEL,102789892.0,2686533000.0,US$ current,Belgium
2013,BEL,356799880.0,3018475000.0,US$ current,Belgium
2014,BEL,495135712.0,2561219000.0,US$ current,Belgium
2015,BEL,365394632.0,2455802000.0,US$ current,Belgium
2016,BEL,302240624.0,2583381000.0,US$ current,Belgium
2017,BEL,396248620.0,2961450000.0,US$ current,Belgium
2018,BEL,360204336.0,3351782000.0,US$ current,Belgium
2019,BEL,464960384.0,3548509000.0,US$ current,Belgium
2020,BEL,459253120.0,3921943000.0,US$ current,Belgium
2021,BEL,445219520.0,3893607000.0,US$ current,Belgium
2022,BEL,422986816.0,7746767000.0,US$ current,Belgium
2010,CAN,95947242.0,4032754000.0,US$ current,Canada
2011,CAN,549096155.0,2684936000.0,US$ current,Canada
2012,CAN,784711872.0,2889677000.0,US$ current,Canada
2013,CAN,478913328.0,3032590000.0,US$ current,Canada
2014,CAN,284722656.0,3125070000.0,US$ current,Canada
2015,CAN,483636592.0,1980783000.0,US$ current,Canada
2016,CAN,894131312.0,2224104000.0,US$ current,Canada
2017,CAN,555750832.0,2462430000.0,US$ current,Canada
2018,CAN,837664896.0,2225794000.0,US$ current,Canada
2019,CAN,883300448.0,1931571000.0,US$ current,Canada
2020,CAN,748377660.0,3569831000.0,US$ current,Canada
2021,CAN,904346928.0,3232945000.0,US$ current,Canada
2022,CAN,1947453728.0,4428242000.0,US$ current,Canada
2010,GBR,1095766650.0,10092086000.0,US$ current,United Kingdom
2011,GBR,390532198.0,8489527000.0,US$ current,United Kingdom
2012,GBR,779734688.0,10408687000.0,US$ current,United Kingdom
2013,GBR,1671452000.0,27156066000.0,US$ current,United Kingdom
2014,GBR,2114828768.0,25158376000.0,US$ current,United Kingdom
2015,GBR,3417216128.0,20759857000.0,US$ current,United Kingdom
2016,GBR,2188959872.0,15147421000.0,US$ current,United Kingdom
2017,GBR,2229768384.0,15090442000.0,US$ current,United Kingdom
2018,GBR,2114432032.0,15693130000.0,US$ current,United Kingdom
2019,GBR,2621597248.0,15326139000.0,US$ current,United Kingdom
2020,GBR,3203645232.0,13698526000.0,US$ current,United Kingdom
2021,GBR,2261871744.0,18920555000.0,US$ current,United Kingdom
2022,GBR,2602125696.0,50207640853.0,US$ current,United Kingdom
2010,ITA,39707138.0,11081615000.0,US$ current,Italy
2011,ITA,96114132.0,11340242000.0,US$ current,Italy
2012,ITA,90192558.5,12670792000.0,US$ current,Italy
2013,ITA,230325168.0,13570932000.0,US$ current,Italy
2014,ITA,254199420.0,13026661000.0,US$ current,Italy
2015,ITA,404235392.0,10006324000.0,US$ current,Italy
2016,ITA,222025076.0,9745937000.0,US$ current,Italy
2017,ITA,620194784.0,10018464000.0,US$ current,Italy
2018,ITA,438735928.0,11144166000.0,US$ current,Italy
2019,ITA,503053184.0,11277775000.0,US$ current,Italy
2020,ITA,894737984.0,10791698000.0,US$ current,Italy
2021,ITA,900554816.0,16136249000.0,US$ current,Italy
2022,ITA,583962288.0,50112338000.0,US$ current,Italy
2010,USA,827844730.0,15053324000.0,US$ current,United States
2011,USA,1121416380.0,11614896000.0,US$ current,United States
2012,USA,1498282048.0,11727048000.0,US$ current,United States
2013,USA,2536570256.0,11287730000.0,US$ current,United States
2014,USA,2142482464.0,11465460000.0,US$ current,United States
2015,USA,1761292048.0,10868947000.0,US$ current,United States
2016,USA,2972719872.0,9276425000.0,US$ current,United States
2017,USA,2191163712.0,9300564000.0,US$ current,United States
2018,USA,1518862528.0,10452906000.0,US$ current,United States
2019,USA,2081827072.0,11573847000.0,US$ current,United States
2020,USA,2329149312.0,10308295000.0,US$ current,United States
2021,USA,2450758720.0,12206586000.0,US$ current,United States
2022,USA,5870904064.0,14032668000.0,US$ current,United States
