year,climate_finance_commitments,fossil_fuel_subsidies,currency
2010,21893467055.0,186469445295.0,US$ current
2011,17292535537.0,208527172264.0,US$ current
2012,23028812044.515625,222499879183.0,US$ current
2013,26145721949.65625,236866523516.0,US$ current
2014,29770939758.585938,223349743589.0,US$ current
2015,31128861542.765625,170384642882.0,US$ current
2016,31782042354.366943,141416390209.0,US$ current
2017,31966082393.685547,152602715341.0,US$ current
2018,34202588128.68457,161218056759.0,US$ current
2019,36693368107.251465,160628302990.0,US$ current
2020,48760260386.07495,140457603910.0,US$ current
2021,45661184763.576675,214559259725.0,US$ current
2022,59094904942.00781,489322710016.0,US$ current
